X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,GSLO,GSHI,VIRTUAL,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,TOTAL,MEMBER,AM,HI,BL,WH,HP,TR,FTE,LATCOD,LONCOD,ULOCALE,NMCNTY,STUTERATIO,TITLEI,STITLEI,AMALM,AMALF,ASALM,ASALF,HIALM,HIALF,BLALM,BLALF,WHALM,WHALF,HPALM,HPALF,TRALM,TRALF,TOTMENROL,TOTFENROL,STATUS,UG,AE,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL,AS,CHARTER_TEXT,MAGNET_TEXT
-18066683.1831,7371051.9319,11,020000700177,2018-2019,AK,0200007,AK-56,Aleutians East Borough School District,King Cove School,100 Slocum Dr,?,King Cove,AK,99612,0069,(907)497-2354,PK,12,Not Virtual,3,-1,-1,9,5,2,6,7,5,8,6,11,6,2,9,8,9,?,93,93,83,2,0,4,0,0,11,55.04728,-162.29577,43-Rural: Remote,Aleutians East Borough,8.5,1-Yes,2-No,44,39,3,1,1,1,0,0,2,2,0,0,0,0,50,43,1,?,?,Regular school,Currently operational ,Other,4,No,No
-17864074.1001,7430422.2728,12,020000700461,2018-2019,AK,0200007,AK-56,Aleutians East Borough School District,Sand Point School,123 Red Cove Rd,?,Sand Point,AK,99661,    ,(907)383-2393,PK,12,Not Virtual,3,-1,-1,10,9,5,9,9,14,5,10,9,11,5,4,10,5,?,115,115,81,2,0,12,8,2,14,55.351546,-160.475841,43-Rural: Remote,Aleutians East Borough,8.2,1-Yes,2-No,43,38,4,6,2,0,0,0,6,6,4,4,0,2,59,56,1,?,?,Regular school,Currently operational ,Other,10,No,No
-18873538.8649,7679298.9475,13,020067000307,2018-2019,AK,0200670,AK-40,Pribilof School District,St George School,#1 Elementary,?,St George,AK,99591,    ,(907)859-2228,M ,M ,N,-2,-2,-2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,56.602558,-169.543863,43-Rural: Remote,Aleutians West Census Area,-2,Missing,Missing,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-2,-2,6,?,?,Regular school,School temporarily closed,Not reported,?,No,Missing
-18955391.032,7784872.018,14,020067000308,2018-2019,AK,0200670,AK-40,Pribilof School District,St Paul School,930 Tolstoi,?,St. Paul,AK,99660,    ,(907)546-3337,PK,12,Virtual with face to face options,3,-1,-1,10,7,1,6,5,6,7,10,6,4,1,2,3,4,?,72,72,71,1,0,0,0,0,4.34999990463257,57.120896,-170.279219,43-Rural: Remote,Aleutians West Census Area,16.6,1-Yes,1-Yes,41,30,0,0,1,0,0,0,0,0,0,0,0,0,42,30,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18537188.7628,7145400.4225,15,020072000340,2018-2019,AK,0200720,AK-47,Unalaska City School District,Eagle's View Elementary School,503 East Broadway,?,Unalaska,AK,99685,    ,(907)581-3979,PK,06,Not Virtual,60,44,16,0,32,35,31,40,35,31,26,?,?,?,?,?,?,?,230,230,26,26,6,61,13,0,15.3999996185303,53.86895,-166.522459,43-Rural: Remote,Aleutians West Census Area,14.9,1-Yes,2-No,10,16,54,44,10,16,1,5,29,32,6,7,0,0,110,120,1,?,?,Regular school,Currently operational ,Elementary,98,No,No
-18537990.5023,7146080.3157,16,020072000661,2018-2019,AK,0200720,AK-47,Unalaska City School District,Unalaska Jr/Sr High School,55 E Broadway,?,Unalaska,AK,99685,    ,(907)581-1222,07,12,Not Virtual,33,24,9,?,?,?,?,?,?,?,?,30,29,30,25,40,34,?,188,188,25,20,2,34,9,0,14.3999996185303,53.872671,-166.529624,43-Rural: Remote,Aleutians West Census Area,13.1,1-Yes,2-No,9,16,51,47,10,10,1,1,20,14,4,5,0,0,95,93,1,?,?,Regular school,Currently operational ,High,98,No,No
-18064536.1519,8593172.3293,17,020000100206,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Joann A. Alexie Memorial School,101 Village Rd,?,Atmautluak,AK,99559,    ,(907)553-5112,PK,12,Supplemental Virtual,114,114,0,9,15,8,8,6,3,11,8,12,6,13,7,7,8,?,121,121,121,0,0,0,0,0,7.8600001335144,60.857371,-162.276467,43-Rural: Remote,Bethel Census Area,15.4,1-Yes,1-Yes,57,64,0,0,0,0,0,0,0,0,0,0,0,0,57,64,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18008230.9383,8581072.0102,18,020000100207,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Gladys Jung Elementary,1007 Ron Edwards Memorial Dr,?,Bethel,AK,99559,    ,(907)543-4440,03,06,Supplemental Virtual,299,299,0,?,?,?,?,84,89,72,85,?,?,?,?,?,?,?,330,330,281,5,1,37,0,2,21.5,60.804358,-161.770708,41-Rural: Fringe,Bethel Census Area,15.3,1-Yes,1-Yes,129,152,2,2,4,1,0,1,20,17,0,0,1,1,156,174,1,?,?,Regular school,Currently operational ,Elementary,4,No,No
-18008196.9663,8580654.1545,19,020000100208,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Bethel Regional High School,1006 Ron Edwards Memorial Dr,?,Bethel,AK,99559,    ,(907)543-3957,07,12,Supplemental Virtual,393,393,0,?,?,?,?,?,?,?,?,110,103,117,52,51,61,?,494,494,435,8,1,38,0,2,34.9700012207031,60.802584,-161.770398,41-Rural: Fringe,Bethel Census Area,14.1,1-Yes,1-Yes,227,208,6,4,5,3,0,1,20,18,0,0,1,1,259,235,1,?,?,Regular school,Currently operational ,High,10,No,No
-18287813.8073,8434935.3792,20,020000100209,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Chaputnguak School,102 Village Rd,?,Chefornak,AK,99561,    ,(907)867-8700,PK,12,Supplemental Virtual,141,141,0,1,9,11,8,11,10,11,10,17,15,9,11,12,5,?,140,140,139,0,0,1,0,0,10,60.157612,-164.282245,43-Rural: Remote,Bethel Census Area,14,1-Yes,1-Yes,70,69,0,0,0,0,0,0,0,1,0,0,0,0,70,70,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18260629.4029,8385619.0716,21,020000100210,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Chief Paul Memorial School,105 Village Rd,?,Kipnuk,AK,99614,    ,(907)896-5011,PK,12,Supplemental Virtual,207,207,0,3,14,16,18,10,23,11,19,24,20,11,15,15,14,?,213,213,213,0,0,0,0,0,15,59.936533,-164.038046,43-Rural: Remote,Bethel Census Area,14.2,1-Yes,1-Yes,109,104,0,0,0,0,0,0,0,0,0,0,0,0,109,104,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18132507.3547,8390720.4452,22,020000100211,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Ayagina'ar Elitnaurvik,106 Village Rd,?,Kongiganak,AK,99559,    ,(907)557-5551,PK,12,Supplemental Virtual,166,166,0,13,7,13,12,13,16,13,9,15,10,21,11,8,5,?,166,166,165,0,0,0,0,1,10.9700002670288,59.959437,-162.887161,43-Rural: Remote,Bethel Census Area,15.1,1-Yes,1-Yes,93,72,0,0,0,0,0,0,0,0,0,0,1,0,94,72,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18162633.7354,8372420.7397,23,020000100212,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Kwigillingok School,108 Village Rd,?,Kwigillingok,AK,99622,    ,(907)588-8629,PK,12,Supplemental Virtual,140,140,0,19,10,9,9,10,8,9,7,14,8,6,11,8,12,?,140,140,138,0,1,0,0,1,8,59.877153,-163.157701,43-Rural: Remote,Bethel Census Area,17.5,1-Yes,1-Yes,71,67,0,0,0,0,0,1,0,0,0,0,0,1,71,69,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18379850.7838,8519390.9635,24,020000100213,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Nelson Island Area School,101 Sunny Side Rd,?,Toksook Bay,AK,99637,    ,(907)427-7815,PK,12,Supplemental Virtual,184,184,0,2,14,12,15,10,13,16,9,11,13,23,23,10,12,?,183,183,179,0,0,4,0,0,12.8999996185303,60.533031,-165.109016,43-Rural: Remote,Bethel Census Area,14.2,1-Yes,1-Yes,89,90,0,0,0,0,0,0,2,2,0,0,0,0,91,92,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18084552.4617,8602093.1134,25,020000100214,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Anna Tobeluk Memorial School,114 Village Rd,?,Nunapitchuk,AK,99641,    ,(907)527-5701,PK,12,Supplemental Virtual,199,199,0,0,17,13,19,14,19,10,18,18,12,41,6,6,10,?,203,203,202,0,0,1,0,0,13.8900003433228,60.896508,-162.456382,43-Rural: Remote,Bethel Census Area,14.6,1-Yes,1-Yes,102,100,0,0,0,0,0,0,0,1,0,0,0,0,102,101,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18013428.6562,8182999.3683,26,020000100215,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Arviq School,116 Village Rd,?,Platinum,AK,99651,    ,(907)979-8111,KG,12,Supplemental Virtual,7,7,0,?,1,2,1,1,1,2,0,2,3,0,0,0,0,?,13,13,12,0,1,0,0,0,0.600000023841858,59.011976,-161.817408,43-Rural: Remote,Bethel Census Area,21.7,1-Yes,1-Yes,6,6,0,0,0,0,0,1,0,0,0,0,0,0,6,7,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18007619.442,8579150.0719,27,020000100318,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Kuskokwim Learning Academy,1010 4th Ave,?,Bethel,AK,99559,    ,(907)543-5610,08,12,Supplemental Virtual,3,-1,-1,?,?,?,?,?,?,?,?,?,0,10,12,16,22,?,60,60,58,1,0,1,0,0,7.80000019073486,60.796131,-161.765194,33-Town: Remote,Bethel Census Area,7.7,1-Yes,1-Yes,28,30,0,0,1,0,0,0,1,0,0,0,0,0,30,30,1,?,?,Alternative/other school,Currently operational ,High,0,No,No
-18007619.442,8579150.0719,28,020000100329,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Ayaprun Elitnaurvik,1010 Fourth Ave,?,Bethel,AK,99559,    ,(907)543-1645,PK,06,Supplemental Virtual,116,116,0,0,40,29,20,23,20,20,17,?,?,?,?,?,?,?,169,169,165,0,0,4,0,0,9.32999992370605,60.796131,-161.765194,33-Town: Remote,Bethel Census Area,18.1,1-Yes,1-Yes,75,90,0,0,0,0,0,0,3,1,0,0,0,0,78,91,1,?,?,Regular school,Currently operational ,Elementary,0,Yes,No
-18395722.5081,8531403.4193,29,020000100389,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Paul T. Albert Memorial School,120 Village Rd,?,Tununak,AK,99681,    ,(907)652-6827,PK,12,Supplemental Virtual,102,102,0,2,13,5,8,14,6,6,6,7,10,14,7,3,7,?,108,108,108,0,0,0,0,0,6.98000001907349,60.586072,-165.251625,43-Rural: Remote,Bethel Census Area,15.5,1-Yes,1-Yes,60,48,0,0,0,0,0,0,0,0,0,0,0,0,60,48,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18091210.9762,8596703.0422,30,020000100391,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Akula Elitnaurvik School,100 Akula Heights,?,Kasigluk,AK,99609,    ,(907)477-6615,PK,12,Supplemental Virtual,130,130,0,12,9,13,14,7,10,11,11,7,7,11,10,7,5,?,134,134,132,0,0,2,0,0,7.94999980926514,60.872863,-162.516114,43-Rural: Remote,Bethel Census Area,16.9,1-Yes,1-Yes,64,68,0,0,0,0,0,0,1,1,0,0,0,0,65,69,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18036638.3352,8447959.1273,31,020000100392,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Eek School,103 Village Rd,?,Eek,AK,99578,    ,(907)536-5227,PK,12,Supplemental Virtual,101,101,0,13,8,14,8,7,10,8,5,8,11,7,8,7,2,?,116,116,116,0,0,0,0,0,6,60.215856,-162.025873,43-Rural: Remote,Bethel Census Area,19.3,1-Yes,1-Yes,57,59,0,0,0,0,0,0,0,0,0,0,0,0,57,59,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18109032.694,8476478.6836,32,020000100406,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Lewis Angapak Memorial School,119 Village Rd,?,Tuntutuliak,AK,99680,    ,(907)256-2415,PK,12,Supplemental Virtual,139,139,0,1,10,10,6,12,10,11,13,11,8,15,9,11,14,?,141,141,141,0,0,0,0,0,7.96999979019165,60.342864,-162.676324,43-Rural: Remote,Bethel Census Area,17.7,1-Yes,1-Yes,77,64,0,0,0,0,0,0,0,0,0,0,0,0,77,64,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18500098.1195,8486289.4481,33,020000100408,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Nuniwarmiut School,109 Village Rd,?,Mekoryuk,AK,99630,    ,(907)827-8415,PK,12,Supplemental Virtual,50,50,0,7,2,6,1,7,6,4,2,5,1,3,2,3,2,?,51,51,51,0,0,0,0,0,3.79999995231628,60.386521,-166.189218,43-Rural: Remote,Bethel Census Area,13.4,1-Yes,1-Yes,21,30,0,0,0,0,0,0,0,0,0,0,0,0,21,30,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18030516.5785,8555959.5704,34,020000100409,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,William Miller Memorial School,110 Village Rd,?,Napakiak,AK,99634,    ,(907)589-2420,PK,12,Supplemental Virtual,92,92,0,12,5,12,6,5,5,12,8,4,6,7,5,5,4,?,96,96,92,0,0,4,0,0,5.98000001907349,60.694191,-161.97091,42-Rural: Distant,Bethel Census Area,16.1,1-Yes,1-Yes,45,47,0,0,0,0,0,0,0,4,0,0,0,0,45,51,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18008421.1815,8581113.797,35,020000100436,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Mikelnguut Elitnaurviat,1005 Raven's Way,?,Bethel,AK,99559,    ,(907)543-2845,PK,02,Supplemental Virtual,257,257,0,72,77,93,89,?,?,?,?,?,?,?,?,?,?,?,331,331,280,2,2,44,0,1,18.5,60.80468,-161.772468,41-Rural: Fringe,Bethel Census Area,17.9,1-Yes,1-Yes,133,147,2,0,1,1,2,0,16,28,0,0,0,1,154,177,1,?,?,Regular school,Currently operational ,Elementary,2,No,No
-17969638.732,8582492.8982,36,020000100438,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Ket'acik/Aapalluk Memorial School,107 Village Rd,?,Kwethluk,AK,99621,    ,(907)757-6014,PK,12,Supplemental Virtual,271,271,0,16,26,16,33,20,17,18,20,26,17,31,16,8,12,?,276,276,276,0,0,0,0,0,18.9400005340576,60.810742,-161.423994,43-Rural: Remote,Bethel Census Area,14.6,1-Yes,1-Yes,143,133,0,0,0,0,0,0,0,0,0,0,0,0,143,133,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18007096.273,8559055.7229,37,020000100439,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Z. John Williams Memorial School,111 Village Rd,?,Napaskiak,AK,99634,    ,(907)737-7212,PK,12,Supplemental Virtual,141,141,0,1,12,11,11,12,13,8,10,11,10,13,11,12,9,?,144,144,143,0,0,1,0,0,13.8500003814697,60.707837,-161.760468,42-Rural: Distant,Bethel Census Area,10.4,1-Yes,1-Yes,80,63,0,0,0,0,0,0,1,0,0,0,0,0,81,63,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18326439.9856,8611346.5018,38,020000100440,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Ayaprun School,112 Village Rd,?,Newtok,AK,99559,    ,(907)237-2505,PK,12,Supplemental Virtual,101,101,0,1,4,5,8,11,9,6,8,11,9,13,7,5,13,?,110,110,110,0,0,0,0,0,8,60.936833,-164.629312,43-Rural: Remote,Bethel Census Area,13.8,1-Yes,1-Yes,49,61,0,0,0,0,0,0,0,0,0,0,0,0,49,61,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18022336.1179,8344664.8858,39,020000100441,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Kuinerrarmiut Elitnaurviat,117 Village Rd,?,Quinhagak,AK,99655,    ,(907)556-8628,PK,12,Supplemental Virtual,222,222,0,3,15,13,16,20,17,16,18,22,21,26,14,11,11,?,223,223,222,0,0,1,0,0,15.7600002288818,59.751599,-161.897479,43-Rural: Remote,Bethel Census Area,14.1,1-Yes,1-Yes,113,109,0,0,0,0,0,0,1,0,0,0,0,0,114,109,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18336815.0383,8506694.9475,40,020000100474,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Negtemiut Elitnaurviat School,113 Village Rd,?,Nightmute,AK,99690,    ,(907)647-6313,PK,12,Supplemental Virtual,-9,-9,-9,15,6,6,6,7,4,5,8,2,9,9,4,2,6,?,89,89,89,0,0,0,0,0,5,60.476896,-164.722417,43-Rural: Remote,Bethel Census Area,17.8,1-Yes,1-Yes,47,42,0,0,0,0,0,0,0,0,0,0,0,0,47,42,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18008298.8823,8562431.0503,41,020000100475,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Qugcuun Memorial School,115 Village Rd,?,Oscarville (Kuiggayagaq),AK,99559,    ,(907)737-7214,PK,12,Supplemental Virtual,19,19,0,0,4,1,2,0,0,1,0,2,2,1,1,0,3,?,17,17,17,0,0,0,0,0,0.800000011920929,60.722684,-161.771339,42-Rural: Distant,Bethel Census Area,21.3,1-Yes,1-Yes,7,10,0,0,0,0,0,0,0,0,0,0,0,0,7,10,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17988350.5165,8206817.8717,42,020000100476,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Rocky Mountain School,121 Village Rd,?,Goodnews Bay,AK,99589,    ,(907)967-8213,PK,12,Supplemental Virtual,64,64,0,0,10,6,6,4,9,6,6,8,4,1,1,1,1,?,63,63,62,0,0,0,0,1,5.19999980926514,59.122128,-161.592127,43-Rural: Remote,Bethel Census Area,12.1,1-Yes,1-Yes,38,24,0,0,0,0,0,0,0,0,0,0,0,1,38,25,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18091564.2851,8601688.0216,43,020000100619,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Akiuk Memorial School,104 Village Rd,?,Kasigluk,AK,99609,    ,(907)477-6829,PK,12,Supplemental Virtual,107,107,0,14,7,4,8,8,4,6,10,6,9,10,7,10,3,?,106,106,104,0,0,2,0,0,5.98999977111816,60.894621,-162.519284,43-Rural: Remote,Bethel Census Area,17.7,1-Yes,1-Yes,54,50,0,0,0,0,0,0,1,1,0,0,0,0,55,51,1,?,?,Regular school,Currently operational ,Other,0,No,No
-18010045.0437,8577061.5818,44,020000100620,2018-2019,AK,0200001,AK-31,Lower Kuskokwim School District,Bethel Youth Facility,Lower Kuskokwim School Dist,?,Bethel,AK,99559,    ,(907)543-5200,05,12,Supplemental Virtual,3,-1,-1,?,?,?,?,?,?,0,0,0,0,7,4,0,1,?,12,12,11,0,0,1,0,0,2,60.786936,-161.786984,33-Town: Remote,Bethel Census Area,6,1-Yes,2-No,11,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,1,?,?,Alternative/other school,Currently operational ,High,0,No,No
-17972308.9322,8605670.0719,45,020000400579,2018-2019,AK,0200004,AK-54,Yupiit School District,Akiachak School,Akiachak #51100,?,Akiachak,AK,99551,0189,(907)825-3616,KG,12,Not Virtual,205,205,0,?,14,22,12,21,19,13,13,9,17,15,11,24,8,?,198,198,193,0,1,2,0,1,14.8500003814697,60.912005,-161.44806,43-Rural: Remote,Bethel Census Area,13.3,1-Yes,1-Yes,93,100,1,0,0,0,0,1,2,0,0,0,0,1,96,102,1,?,?,Regular school,Currently operational ,Other,1,No,No
-17918130.3665,8648801.24,46,020000400623,2018-2019,AK,0200004,AK-54,Yupiit School District,Tuluksak School,Tuluksak # 115,?,Tuluksak,AK,99679,    ,(907)695-5625,KG,12,Not Virtual,125,125,0,?,10,7,14,6,11,8,15,6,9,12,6,7,8,?,119,119,118,0,1,0,0,0,10,61.099807,-160.961316,43-Rural: Remote,Bethel Census Area,11.9,1-Yes,1-Yes,66,52,0,0,0,0,1,0,0,0,0,0,0,0,67,52,1,?,?,Regular school,Currently operational ,Other,0,No,No
-17947373.4749,8604566.0579,47,020000400624,2018-2019,AK,0200004,AK-54,Yupiit School District,Akiak School,Akiak # 5227,?,Akiak,AK,99552,0049,(907)765-4600,KG,12,Not Virtual,126,126,0,?,13,10,10,11,9,11,9,8,10,8,9,3,9,?,120,120,120,0,0,0,0,0,8,60.907313,-161.223997,43-Rural: Remote,Bethel Census Area,15,1-Yes,1-Yes,57,63,0,0,0,0,0,0,0,0,0,0,0,0,57,63,1,?,?,Regular school,Currently operational ,Other,0,No,No
