@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.unsupervised.instance.Resample-S1-Z2.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3,5,9-13,15,47-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,10-36,38,41-42,44-49,51-57,59,61'

@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute GSLO {PK,09,KG,07,'M ',03,08,05,06,10,02,04,01,12,'N ',UG,11,AE}
@attribute GSHI {05,12,06,02,08,01,07,09,04,03,KG,10,PK,11,'N ',UG,13,AE}
@attribute VIRTUAL {'Not Virtual','Supplemental Virtual','Virtual with face to face options',N,M,'Full Virtual'}
@attribute ULOCALE {City,Suburb,Town,Rural}
@attribute TITLEI {1-Yes,'Not Applicable',Missing}
@attribute STITLEI {1-Yes,'Not Applicable',2-No,Missing}
@attribute ASALM numeric
@attribute WHALF numeric
@attribute SCHOOL_TYPE_TEXT {'Regular school','Alternative/other school','Special education school','Vocational school'}
@attribute SCHOOL_LEVEL {Elementary,High,Other,'Not reported',Middle,Secondary,Prekindergarten,'Not applicable',Ungraded,'Adult Education'}
@attribute CHARTER_TEXT {No,Yes,Missing}
@attribute MAGNET_TEXT {No,Missing,Yes,'Not Applicable'}

@data
TX,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,1,10,'Regular school',Elementary,No,No
AL,06,08,'Not Virtual',Town,1-Yes,1-Yes,0,114,'Regular school',Middle,No,No
SC,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,0,131,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,5,'Regular school',Elementary,No,No
TX,PK,08,'Not Virtual',Suburb,1-Yes,1-Yes,0,4,'Regular school',Elementary,Yes,No
TX,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,17,123,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,3,8,'Regular school',Elementary,No,No
NC,08,12,'Not Virtual',City,1-Yes,1-Yes,0,0,'Alternative/other school',High,No,No
WY,KG,06,'Not Virtual',Rural,'Not Applicable','Not Applicable',3,122,'Regular school',Elementary,No,No
CA,09,12,'Not Virtual',City,1-Yes,1-Yes,1,0,'Alternative/other school',High,No,No
TX,06,09,'Not Virtual',City,1-Yes,1-Yes,0,3,'Regular school',Middle,No,No
OR,06,08,'Not Virtual',City,'Not Applicable','Not Applicable',2,87,'Regular school',Middle,Yes,Missing
OH,09,12,'Not Virtual',Town,1-Yes,1-Yes,1,208,'Regular school',High,No,'Not Applicable'
OR,KG,05,'Not Virtual',Town,1-Yes,1-Yes,2,145,'Regular school',Elementary,No,Missing
NC,06,08,'Not Virtual',City,1-Yes,1-Yes,2,15,'Regular school',Middle,No,No
MI,06,08,'Not Virtual',City,1-Yes,1-Yes,8,224,'Regular school',Middle,No,No
MI,07,12,'Not Virtual',City,1-Yes,1-Yes,0,2,'Alternative/other school',High,No,Yes
NY,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,1,180,'Regular school',Elementary,No,No
PA,05,08,'Not Virtual',City,1-Yes,1-Yes,2,8,'Regular school',Middle,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,8,27,'Regular school',Elementary,No,No
TX,06,08,'Not Virtual',Rural,1-Yes,2-No,0,232,'Regular school',Middle,No,No
WA,KG,06,'Not Virtual',Rural,1-Yes,1-Yes,1,24,'Regular school',Elementary,No,No
OR,KG,06,'Not Virtual',Town,1-Yes,1-Yes,7,185,'Regular school',Elementary,No,Missing
TX,PK,KG,'Not Virtual',Rural,1-Yes,1-Yes,0,9,'Regular school',Elementary,No,No
TX,KG,05,'Not Virtual',Rural,1-Yes,1-Yes,4,107,'Regular school',Elementary,No,No
NY,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',12,210,'Regular school',High,No,No
NY,05,05,'Not Virtual',City,1-Yes,1-Yes,0,2,'Regular school',Middle,No,No
GA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,3,49,'Regular school',Elementary,No,No
MI,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,39,179,'Regular school',Elementary,Yes,No
MI,09,12,'Not Virtual',Rural,1-Yes,1-Yes,0,94,'Regular school',High,No,Yes
FL,06,08,'Not Virtual',City,1-Yes,1-Yes,0,3,'Regular school',Middle,No,No
NE,06,08,'Not Virtual',City,'Not Applicable','Not Applicable',15,266,'Regular school',Middle,Missing,Missing
AZ,06,08,'Not Virtual',City,1-Yes,1-Yes,1,186,'Regular school',Middle,No,'Not Applicable'
PA,KG,12,'Not Virtual',City,1-Yes,1-Yes,1,16,'Regular school',Other,Yes,No
FL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,127,'Regular school',Elementary,No,No
GA,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,33,49,'Regular school',Middle,No,No
FL,06,08,'Not Virtual',Rural,'Not Applicable','Not Applicable',100,118,'Regular school',Middle,Yes,No
PA,09,12,'Not Virtual',Suburb,1-Yes,2-No,8,287,'Regular school',High,No,No
TX,07,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',0,1,'Alternative/other school',High,No,No
TX,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,0,28,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,8,101,'Regular school',Elementary,No,No
NJ,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,4,52,'Regular school',Elementary,No,Missing
SD,09,12,'Supplemental Virtual',Town,'Not Applicable','Not Applicable',0,9,'Regular school',High,No,Missing
MI,KG,05,'Not Virtual',Suburb,1-Yes,2-No,3,143,'Regular school',Elementary,No,No
CA,09,12,'Supplemental Virtual',Town,1-Yes,1-Yes,0,0,'Alternative/other school',High,No,No
PA,09,12,'Not Virtual',Rural,'Not Applicable','Not Applicable',2,328,'Regular school',High,No,No
TX,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,4,91,'Regular school',Elementary,No,No
WA,PK,05,'Not Virtual',Town,1-Yes,1-Yes,0,19,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,1,'Regular school',Elementary,No,No
NE,PK,05,'Not Virtual',City,1-Yes,1-Yes,3,31,'Regular school',Elementary,Missing,Missing
FL,PK,08,'Not Virtual',Rural,1-Yes,1-Yes,11,214,'Regular school',Elementary,No,No
NC,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,8,109,'Regular school',Elementary,No,No
PA,06,08,'Not Virtual',Suburb,1-Yes,2-No,2,239,'Regular school',Middle,No,No
PA,KG,05,'Not Virtual',Suburb,1-Yes,2-No,7,279,'Regular school',Elementary,No,No
NC,KG,08,'Not Virtual',Rural,'Not Applicable','Not Applicable',2,72,'Regular school',Elementary,Yes,No
TX,09,12,'Not Virtual',City,1-Yes,1-Yes,31,275,'Regular school',High,No,Yes
NY,06,08,'Not Virtual',City,1-Yes,1-Yes,2,1,'Regular school',Middle,No,Yes
FL,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,3,'Regular school',Elementary,No,Yes
WA,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,17,122,'Regular school',Elementary,No,No
MI,03,05,'Not Virtual',Suburb,1-Yes,1-Yes,2,12,'Regular school',Elementary,No,No
VA,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,1,63,'Regular school',Elementary,No,No
TX,09,12,'Not Virtual',Town,1-Yes,1-Yes,4,24,'Regular school',High,No,No
OH,02,05,'Not Virtual',Suburb,1-Yes,2-No,44,178,'Regular school',Elementary,No,'Not Applicable'
TX,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,60,89,'Regular school',Elementary,No,No
NY,KG,08,'Not Virtual',Suburb,1-Yes,1-Yes,10,76,'Regular school',Elementary,No,Yes
CA,09,12,'Not Virtual',City,1-Yes,2-No,29,5,'Alternative/other school',High,No,No
VA,07,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',91,336,'Regular school',Middle,No,No
NY,01,09,'Not Virtual',Suburb,1-Yes,1-Yes,0,7,'Regular school',Other,No,No
FL,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,4,530,'Regular school',High,No,No
AZ,KG,03,'Not Virtual',Town,1-Yes,1-Yes,2,155,'Regular school',Elementary,No,'Not Applicable'
FL,09,12,'Not Virtual',City,1-Yes,1-Yes,0,0,'Regular school',High,No,Yes
TX,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',5,162,'Regular school',Elementary,No,No
NE,PK,05,'Not Virtual',Town,1-Yes,1-Yes,3,140,'Regular school',Elementary,Missing,Missing
FL,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,29,316,'Regular school',High,No,No
TX,PK,05,'Not Virtual',Town,1-Yes,1-Yes,2,32,'Regular school',Elementary,No,Yes
AZ,KG,06,'Not Virtual',Town,1-Yes,1-Yes,0,111,'Regular school',Elementary,No,'Not Applicable'
CO,09,12,'Not Virtual',City,'Not Applicable','Not Applicable',4,66,'Alternative/other school',High,No,No
MT,03,05,'Not Virtual',City,'Not Applicable','Not Applicable',1,220,'Regular school',Elementary,Missing,Missing
CA,KG,06,'Not Virtual',Suburb,1-Yes,2-No,45,174,'Regular school',Elementary,No,No
PA,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',30,636,'Regular school',High,No,No
TX,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,12,121,'Regular school',Elementary,No,No
CA,KG,12,'Not Virtual',Suburb,1-Yes,2-No,1,15,'Alternative/other school',Other,No,No
ID,PK,06,'Not Virtual',City,1-Yes,1-Yes,8,167,'Regular school',Elementary,No,No
VA,06,08,'Not Virtual',Rural,'Not Applicable','Not Applicable',3,262,'Regular school',Middle,No,No
NE,PK,06,'Not Virtual',Rural,1-Yes,2-No,0,126,'Regular school',Elementary,Missing,Missing
AL,06,08,'Not Virtual',City,1-Yes,1-Yes,0,13,'Regular school',Middle,No,No
OH,09,12,'Not Virtual',Suburb,1-Yes,2-No,2,101,'Regular school',High,No,'Not Applicable'
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,12,'Regular school',Elementary,No,No
NY,KG,05,'Not Virtual',Suburb,1-Yes,2-No,21,102,'Regular school',Elementary,No,No
NY,06,08,'Not Virtual',City,1-Yes,1-Yes,43,73,'Regular school',Middle,No,No
CA,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',382,271,'Regular school',High,No,No
OH,04,08,'Not Virtual',Rural,1-Yes,1-Yes,0,200,'Regular school',Middle,No,'Not Applicable'
GA,09,12,'Not Virtual',City,'Not Applicable','Not Applicable',8,580,'Regular school',High,No,No
GA,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,1,2,'Regular school',Middle,Yes,No
PA,09,12,'Not Virtual',City,1-Yes,1-Yes,55,365,'Regular school',High,No,No
MT,07,08,'Supplemental Virtual',Rural,1-Yes,1-Yes,0,8,'Regular school',Middle,Missing,Missing
TX,01,03,'Not Virtual',Rural,1-Yes,1-Yes,2,88,'Regular school',Elementary,No,No
PA,KG,04,'Not Virtual',Suburb,1-Yes,1-Yes,5,44,'Regular school',Elementary,No,No
MI,KG,12,'Not Virtual',Suburb,1-Yes,1-Yes,0,27,'Alternative/other school',Other,No,No
AK,PK,06,'Not Virtual',Rural,1-Yes,2-No,1,59,'Regular school',Elementary,No,No
GA,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,6,46,'Regular school',Middle,No,No
FL,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,12,89,'Regular school',Elementary,No,No
IN,KG,05,'Not Virtual',City,1-Yes,1-Yes,1,396,'Regular school',Elementary,No,No
NJ,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,1,29,'Regular school',Elementary,No,Missing
UT,PK,06,'Not Virtual',City,'Not Applicable','Not Applicable',5,116,'Regular school',Elementary,No,No
VA,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',4,203,'Regular school',Elementary,No,No
NY,PK,05,'Not Virtual',City,'Not Applicable','Not Applicable',207,55,'Regular school',Elementary,No,No
NC,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',92,666,'Regular school',High,No,No
PA,06,08,'Not Virtual',Suburb,1-Yes,2-No,31,328,'Regular school',Middle,No,No
NY,09,12,'Not Virtual',City,1-Yes,1-Yes,25,238,'Regular school',High,No,No
MI,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,144,'Regular school',Elementary,No,No
VA,05,06,'Not Virtual',City,'Not Applicable','Not Applicable',21,122,'Regular school',Middle,No,No
NY,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,2,'Regular school',Elementary,No,No
VA,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,39,46,'Regular school',Elementary,No,No
CA,09,12,'Supplemental Virtual',City,1-Yes,1-Yes,44,98,'Regular school',High,No,No
PA,KG,05,'Not Virtual',Rural,1-Yes,2-No,1,150,'Regular school',Elementary,No,No
AL,04,06,'Not Virtual',Suburb,'Not Applicable','Not Applicable',8,226,'Regular school',Middle,No,No
CA,KG,05,'Not Virtual',City,1-Yes,2-No,0,0,'Regular school',Elementary,Yes,No
TX,PK,04,'Not Virtual',City,'Not Applicable','Not Applicable',0,1,'Regular school',Elementary,Yes,No
PA,KG,04,'Not Virtual',Suburb,1-Yes,1-Yes,4,61,'Regular school',Elementary,No,No
FL,PK,08,'Not Virtual',Suburb,1-Yes,1-Yes,2,35,'Special education school',Elementary,No,No
KS,09,12,'Not Virtual',City,1-Yes,1-Yes,0,20,'Regular school',High,Yes,No
FL,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,9,182,'Regular school',Elementary,No,No
NC,09,12,'Supplemental Virtual',Rural,'Not Applicable','Not Applicable',5,417,'Regular school',High,No,No
AZ,PK,06,'Not Virtual',City,1-Yes,1-Yes,2,74,'Regular school',Elementary,No,'Not Applicable'
TX,09,12,'Not Virtual',Rural,1-Yes,1-Yes,15,58,'Regular school',High,No,No
OH,09,12,'Not Virtual',Rural,1-Yes,1-Yes,0,166,'Regular school',High,No,'Not Applicable'
FL,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',46,397,'Regular school',Elementary,No,No
CA,09,12,'Not Virtual',City,1-Yes,1-Yes,1,1,'Alternative/other school',High,No,No
GA,06,12,'Not Virtual',Rural,1-Yes,1-Yes,0,18,'Regular school',High,No,No
OH,09,12,'Not Virtual',Suburb,1-Yes,2-No,84,565,'Regular school',High,No,'Not Applicable'
GA,08,11,'Not Virtual',Suburb,1-Yes,1-Yes,2,0,'Regular school',Secondary,No,No
WY,01,03,'Not Virtual',Town,1-Yes,1-Yes,0,51,'Regular school',Elementary,No,No
VA,09,12,'Supplemental Virtual',City,'Not Applicable','Not Applicable',4,96,'Regular school',High,No,No
FL,PK,05,'Not Virtual',City,1-Yes,1-Yes,0,2,'Regular school',Elementary,No,Yes
CA,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,0,1,'Regular school',High,Yes,No
