@relation 'Public_School_Characteristics_2018-19_?Miss-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C70-L70-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-L52-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L22-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C23-L23-weka.filters.unsupervised.attribute.StringToNominal-R19-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R70-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-A22-35-R0-Fyyyy-MM-dd\'T\'HH:mm:ss-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C39-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C40-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C41-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C42-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C43-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C48-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C51-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C52-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C53-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C54-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C55-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C56-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C57-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C58-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C59-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C60-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C61-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C62-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C63-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C64-Lfirst-last-M-weka.filters.unsupervised.attribute.NumericToNominal-R46-weka.filters.unsupervised.attribute.MergeManyValues-C46-LCity-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LSuburb-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LTown-R1,2,3-weka.filters.unsupervised.attribute.MergeManyValues-C46-LRural-R1,2,3-weka.filters.unsupervised.instance.Resample-S1-Z2.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z1.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R3,5,8-13,15,47-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,10-36,38,41-42,44-49,51-57,59,61'

@attribute STABR {AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,BI,GU}
@attribute GSLO {PK,09,KG,07,'M ',03,08,05,06,10,02,04,01,12,'N ',UG,11,AE}
@attribute GSHI {05,12,06,02,08,01,07,09,04,03,KG,10,PK,11,'N ',UG,13,AE}
@attribute VIRTUAL {'Not Virtual','Supplemental Virtual','Virtual with face to face options',N,M,'Full Virtual'}
@attribute ULOCALE {City,Suburb,Town,Rural}
@attribute TITLEI {1-Yes,'Not Applicable',Missing}
@attribute STITLEI {1-Yes,'Not Applicable',2-No,Missing}
@attribute ASALM numeric
@attribute WHALF numeric
@attribute SCHOOL_TYPE_TEXT {'Regular school','Alternative/other school','Special education school','Vocational school'}
@attribute SCHOOL_LEVEL {Elementary,High,Other,'Not reported',Middle,Secondary,Prekindergarten,'Not applicable',Ungraded,'Adult Education'}
@attribute CHARTER_TEXT {No,Yes,Missing}
@attribute MAGNET_TEXT {No,Missing,Yes,'Not Applicable'}

@data
MD,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,6,12,'Regular school',Elementary,No,No
CA,KG,06,'Not Virtual',City,1-Yes,1-Yes,13,9,'Regular school',Elementary,No,No
PA,09,12,'Not Virtual',Suburb,Missing,Missing,0,0,'Vocational school',High,No,No
NC,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',31,309,'Regular school',Elementary,No,No
OR,KG,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',42,144,'Regular school',Elementary,No,Missing
OH,09,12,'Not Virtual',Suburb,1-Yes,2-No,2,195,'Regular school',High,No,'Not Applicable'
CA,06,08,'Not Virtual',Suburb,1-Yes,2-No,31,96,'Regular school',Middle,No,No
GA,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,2,171,'Regular school',Elementary,No,No
PA,KG,12,'Not Virtual',City,1-Yes,1-Yes,1,1,'Regular school',Other,Yes,No
PA,04,06,'Not Virtual',Suburb,1-Yes,1-Yes,0,84,'Regular school',Middle,No,No
MI,07,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',13,299,'Regular school',Middle,No,No
NM,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,0,8,'Regular school',Elementary,No,No
FL,KG,12,'Full Virtual',Suburb,'Not Applicable','Not Applicable',3,40,'Regular school',Other,No,No
MI,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',2,172,'Regular school',Elementary,No,No
FL,06,08,'Not Virtual',Suburb,1-Yes,1-Yes,13,290,'Regular school',Middle,No,No
PA,KG,04,'Not Virtual',Suburb,1-Yes,2-No,5,117,'Regular school',Elementary,No,No
AZ,06,08,'Not Virtual',Suburb,1-Yes,2-No,30,285,'Regular school',Middle,No,'Not Applicable'
CA,09,12,'Not Virtual',Suburb,1-Yes,2-No,1,0,'Regular school',High,No,Yes
SC,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',23,270,'Regular school',Elementary,No,No
PA,07,12,'Not Virtual',Town,1-Yes,1-Yes,1,119,'Regular school',High,No,No
AL,KG,06,'Not Virtual',Suburb,1-Yes,1-Yes,0,1,'Regular school',Elementary,No,No
OH,PK,04,'Not Virtual',Suburb,1-Yes,2-No,18,189,'Regular school',Elementary,No,'Not Applicable'
GA,09,12,'Not Virtual',Suburb,'Not Applicable','Not Applicable',52,293,'Regular school',High,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,1,4,'Regular school',Elementary,No,No
TX,PK,04,'Not Virtual',Suburb,1-Yes,1-Yes,13,121,'Regular school',Elementary,No,No
TX,PK,05,'Not Virtual',Rural,1-Yes,1-Yes,1,135,'Regular school',Elementary,No,No
GA,KG,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',5,111,'Regular school',Elementary,Yes,No
AZ,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,0,9,'Regular school',Elementary,No,'Not Applicable'
NY,KG,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',49,46,'Regular school',Elementary,No,No
MI,PK,05,'Not Virtual',Suburb,1-Yes,1-Yes,0,119,'Regular school',Elementary,No,No
NY,PK,06,'Not Virtual',Rural,1-Yes,1-Yes,0,131,'Regular school',Elementary,No,No
MI,KG,05,'Not Virtual',City,1-Yes,1-Yes,0,0,'Regular school',Elementary,Yes,No
AL,06,08,'Not Virtual',Town,1-Yes,1-Yes,0,119,'Regular school',Middle,No,No
SC,09,12,'Supplemental Virtual',Town,Missing,Missing,0,0,'Vocational school',High,No,No
OR,06,08,'Supplemental Virtual',Suburb,'Not Applicable','Not Applicable',2,175,'Regular school',Middle,No,Missing
NY,07,08,'Not Virtual',Town,1-Yes,1-Yes,3,264,'Regular school',Middle,No,No
FL,KG,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',30,553,'Regular school',Elementary,No,Yes
MI,06,08,'Not Virtual',Suburb,1-Yes,2-No,10,470,'Regular school',Middle,No,No
OH,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,6,95,'Regular school',Elementary,No,'Not Applicable'
PA,KG,05,'Not Virtual',Rural,1-Yes,1-Yes,1,129,'Regular school',Elementary,No,No
AZ,PK,08,'Not Virtual',Rural,'Not Applicable','Not Applicable',8,160,'Regular school',Elementary,No,'Not Applicable'
GA,06,08,'Not Virtual',Suburb,'Not Applicable','Not Applicable',147,383,'Regular school',Middle,No,No
CA,09,12,'Not Virtual',Suburb,1-Yes,1-Yes,84,139,'Regular school',High,No,Yes
OH,07,08,'Not Virtual',City,1-Yes,2-No,5,194,'Regular school',Middle,No,'Not Applicable'
NY,KG,08,'Not Virtual',City,1-Yes,1-Yes,3,5,'Regular school',Elementary,Yes,No
FL,06,08,'Not Virtual',Rural,1-Yes,1-Yes,7,199,'Regular school',Middle,Yes,No
FL,PK,05,'Not Virtual',City,1-Yes,1-Yes,11,309,'Regular school',Elementary,No,No
CA,09,12,'Supplemental Virtual',Suburb,1-Yes,2-No,529,203,'Regular school',High,No,No
HI,PK,05,'Not Virtual',Suburb,'Not Applicable','Not Applicable',169,49,'Regular school',Elementary,No,Missing
WA,09,12,'Supplemental Virtual',City,'Not Applicable','Not Applicable',4,403,'Regular school',High,No,No
FL,KG,05,'Not Virtual',Suburb,1-Yes,1-Yes,3,27,'Regular school',Elementary,Yes,No
OR,09,12,'Supplemental Virtual',City,'Not Applicable','Not Applicable',81,116,'Regular school',High,No,Missing
MI,PK,06,'Not Virtual',Town,1-Yes,1-Yes,2,287,'Regular school',Elementary,No,No
OR,06,08,'Not Virtual',Town,1-Yes,1-Yes,1,35,'Regular school',Middle,No,Missing
TX,09,12,'Not Virtual',Rural,1-Yes,1-Yes,0,11,'Regular school',High,No,No
TX,PK,05,'Not Virtual',City,1-Yes,1-Yes,112,27,'Regular school',Elementary,No,No
NC,PK,05,'Not Virtual',Rural,'Not Applicable','Not Applicable',0,123,'Regular school',Elementary,No,No
UT,PK,06,'Not Virtual',Suburb,1-Yes,2-No,2,307,'Regular school',Elementary,No,No
MI,09,12,'Not Virtual',City,1-Yes,1-Yes,0,0,'Regular school',High,Yes,No
